State Name,county Name,State Code,County Code,Year,Category,Season
Alaska,Anchorage ,2,20,2017,Good,Spring
Alaska,Anchorage ,2,20,2019,Good,Fall
Alaska,Anchorage ,2,20,2020,Good,Fall
Alaska,Anchorage ,2,20,2020,Good,Spring
Alaska,Anchorage ,2,20,2021,Good,Fall
Alaska,Anchorage ,2,20,2022,Good,Fall
Alaska,Anchorage ,2,20,2023,Good,Fall
Alaska,Anchorage ,2,20,2023,Good,Spring
Alaska,Anchorage ,2,20,2024,Good,Spring
Alaska,Fairbanks North Star ,2,90,2024,Good,Spring
Arizona,La Paz,4,12,2017,Good,Fall
California,Alameda,6,1,2024,Good,Spring
California,Contra Costa,6,13,2024,Good,Spring
California,Humboldt,6,23,2017,Good,Spring
California,Marin,6,41,2024,Good,Spring
California,Monterey,6,53,2024,Good,Spring
California,Napa,6,55,2015,Good,Fall
California,Napa,6,55,2017,Good,Fall
California,Napa,6,55,2018,Good,Fall
California,Napa,6,55,2019,Good,Fall
California,Napa,6,55,2020,Good,Fall
California,Napa,6,55,2020,Good,Spring
California,Napa,6,55,2021,Good,Spring
California,San Francisco,6,75,2023,Good,Spring
California,San Mateo,6,81,2014,Good,Fall
California,San Mateo,6,81,2024,Good,Spring
California,Santa Barbara,6,83,2024,Good,Spring
California,Santa Clara,6,85,2024,Good,Spring
California,Sonoma,6,97,2023,Good,Spring
California,Sonoma,6,97,2024,Good,Spring
California,Sutter,6,101,2015,Good,Spring
Colorado,Adams,8,1,2015,Good,Fall
Colorado,El Paso,8,41,2015,Good,Fall
Connecticut,Hartford,9,3,2020,Good,Spring
Connecticut,Hartford,9,3,2024,Good,Spring
Connecticut,Litchfield,9,5,2016,Good,Fall
Connecticut,Litchfield,9,5,2017,Good,Fall
Connecticut,Litchfield,9,5,2017,Good,Spring
Connecticut,Litchfield,9,5,2018,Good,Spring
Connecticut,Litchfield,9,5,2024,Good,Spring
Connecticut,New Haven,9,9,2020,Good,Spring
Connecticut,New Haven,9,9,2024,Good,Spring
Country Of Mexico,CHIHUAHUA STATE,80,6,2014,Good,Fall
Country Of Mexico,CHIHUAHUA STATE,80,6,2014,Good,Spring
Florida,Broward,12,11,2016,Good,Fall
Florida,Broward,12,11,2019,Good,Fall
Florida,Broward,12,11,2024,Good,Spring
Florida,Duval,12,31,2017,Good,Fall
Florida,Duval,12,31,2024,Good,Spring
Florida,Hillsborough,12,57,2017,Good,Fall
Florida,Hillsborough,12,57,2024,Good,Spring
Florida,Orange,12,95,2017,Good,Fall
