State Name,county Name,State Code,County Code,Year,Category,Season
Alabama,Baldwin,1,3,2014,Good,Fall
Alabama,Baldwin,1,3,2014,Good,Spring
Alabama,Baldwin,1,3,2015,Good,Fall
Alabama,Baldwin,1,3,2015,Good,Spring
Alabama,Baldwin,1,3,2016,Good,Fall
Alabama,Baldwin,1,3,2016,Good,Spring
Alabama,Baldwin,1,3,2017,Good,Fall
Alabama,Baldwin,1,3,2017,Good,Spring
Alabama,Baldwin,1,3,2018,Good,Fall
Alabama,Baldwin,1,3,2018,Good,Spring
Alabama,Baldwin,1,3,2019,Good,Fall
Alabama,Baldwin,1,3,2019,Good,Spring
Alabama,Baldwin,1,3,2020,Good,Fall
Alabama,Baldwin,1,3,2020,Good,Spring
Alabama,Baldwin,1,3,2021,Good,Fall
Alabama,Baldwin,1,3,2021,Good,Spring
Alabama,Baldwin,1,3,2022,Good,Fall
Alabama,Baldwin,1,3,2022,Good,Spring
Alabama,Baldwin,1,3,2023,Good,Fall
Alabama,Baldwin,1,3,2023,Good,Spring
Alabama,Baldwin,1,3,2024,Good,Spring
Alabama,Colbert,1,33,2014,Good,Fall
Alabama,Colbert,1,33,2014,Good,Spring
Alabama,Colbert,1,33,2015,Good,Fall
Alabama,Colbert,1,33,2015,Good,Spring
Alabama,Colbert,1,33,2016,Good,Fall
Alabama,Colbert,1,33,2016,Good,Spring
Alabama,Colbert,1,33,2017,Good,Fall
Alabama,Colbert,1,33,2017,Good,Spring
Alabama,Colbert,1,33,2018,Good,Fall
Alabama,Colbert,1,33,2018,Good,Spring
Alabama,Colbert,1,33,2019,Good,Fall
Alabama,Colbert,1,33,2019,Good,Spring
Alabama,DeKalb,1,49,2014,Good,Fall
Alabama,DeKalb,1,49,2014,Good,Spring
Alabama,DeKalb,1,49,2015,Good,Fall
Alabama,DeKalb,1,49,2015,Good,Spring
Alabama,DeKalb,1,49,2016,Good,Fall
Alabama,DeKalb,1,49,2016,Good,Spring
Alabama,DeKalb,1,49,2017,Good,Fall
Alabama,DeKalb,1,49,2017,Good,Spring
Alabama,DeKalb,1,49,2018,Good,Fall
Alabama,DeKalb,1,49,2018,Good,Spring
Alabama,DeKalb,1,49,2019,Good,Fall
Alabama,DeKalb,1,49,2019,Good,Spring
Alabama,DeKalb,1,49,2020,Good,Fall
Alabama,DeKalb,1,49,2020,Good,Spring
Alabama,DeKalb,1,49,2021,Good,Fall
Alabama,DeKalb,1,49,2021,Good,Spring
Alabama,DeKalb,1,49,2022,Good,Fall
Alabama,DeKalb,1,49,2022,Good,Spring
Alabama,DeKalb,1,49,2023,Good,Fall
Alabama,DeKalb,1,49,2023,Good,Spring
Alabama,DeKalb,1,49,2024,Good,Spring
Alabama,Elmore,1,51,2014,Good,Fall
Alabama,Elmore,1,51,2014,Good,Spring
Alabama,Elmore,1,51,2015,Good,Fall
Alabama,Elmore,1,51,2015,Good,Spring
Alabama,Elmore,1,51,2016,Good,Spring
Alabama,Elmore,1,51,2017,Good,Fall
Alabama,Elmore,1,51,2017,Good,Spring
Alabama,Elmore,1,51,2018,Good,Fall
Alabama,Elmore,1,51,2018,Good,Spring
Alabama,Elmore,1,51,2019,Good,Fall
Alabama,Elmore,1,51,2019,Good,Spring
Alabama,Elmore,1,51,2020,Good,Fall
Alabama,Elmore,1,51,2020,Good,Spring
Alabama,Elmore,1,51,2021,Good,Fall
Alabama,Elmore,1,51,2021,Good,Spring
Alabama,Elmore,1,51,2022,Good,Fall
Alabama,Elmore,1,51,2022,Good,Spring
Alabama,Elmore,1,51,2023,Good,Fall
Alabama,Elmore,1,51,2023,Good,Spring
Alabama,Elmore,1,51,2024,Good,Spring
